Wall time,Step,Value
1590140469.4952512,0,1.5707861185073853
1590140492.4659016,1,1.1511586904525757
1590140515.321643,2,0.9188408255577087
1590140538.2213502,3,1.1877286434173584
1590140561.1011405,4,1.6130300760269165
1590140584.019134,5,0.8058849573135376
1590140606.8939753,6,0.685688316822052
1590140629.9025977,7,0.6882739067077637
1590140652.7831838,8,0.6626611351966858
1590140675.9083068,9,0.6705508232116699
1590140698.965447,10,0.6581279039382935
1590140721.9942071,11,0.6366114616394043
1590140745.0679343,12,0.8655232191085815
1590140767.9803004,13,0.6325615048408508
1590140790.8398523,14,0.5801498889923096
1590140813.5939,15,0.5419136881828308
1590140836.5883787,16,0.6206120252609253
1590140859.46107,17,0.6339511275291443
1590140882.2781374,18,0.5190768241882324
1590140905.2747414,19,0.6178849339485168
1590140928.3514016,20,0.6152809858322144
1590140951.3141682,21,0.6049548983573914
1590140974.2759092,22,0.6018523573875427
1590140997.2120492,23,0.5781415104866028
1590141019.9437246,24,0.6311061978340149
1590141042.9732182,25,0.5954456925392151
1590141065.8778067,26,0.6490102410316467
1590141089.016982,27,0.5131781697273254
1590141111.985511,28,0.49369698762893677
1590141134.859874,29,0.5818724632263184
1590141157.8969975,30,0.48306161165237427
1590141180.9178896,31,0.5346481800079346
1590141203.9958627,32,0.5893159508705139
1590141226.9223783,33,0.4534987509250641
1590141249.8031993,34,0.6390490531921387
1590141272.6683211,35,0.4555457532405853
1590141295.5613382,36,0.47839364409446716
1590141318.6178792,37,0.5108942985534668
1590141341.5814235,38,0.5131855607032776
1590141364.6074784,39,0.6002833247184753
1590141387.7195735,40,0.4644041955471039
1590141410.7533712,41,0.4300156235694885
1590141433.7831144,42,0.4751017689704895
1590141456.5478058,43,0.4629113972187042
1590141479.3446434,44,0.4987146258354187
1590141502.106804,45,0.45046451687812805
1590141524.9648814,46,0.41148361563682556
1590141547.8291235,47,0.49379098415374756
1590141570.7678006,48,0.5265673398971558
1590141593.791116,49,0.46632707118988037
1590141616.6815758,50,0.5241400003433228
1590141639.640192,51,0.4685179889202118
1590141662.344262,52,0.5987635850906372
1590141685.2760024,53,0.4543706774711609
1590141708.188294,54,0.5850978493690491
1590141730.9677436,55,0.4888944923877716
1590141753.8737106,56,0.5195916295051575
1590141776.614988,57,0.4876694083213806
1590141799.418096,58,0.5159211158752441
1590141822.2893188,59,0.5464763641357422
1590141844.97182,60,0.5544778108596802
1590141867.7214293,61,0.4237140417098999
1590141890.6166286,62,0.6058138608932495
1590141913.5855696,63,0.5284306406974792
1590141936.4768236,64,0.47400933504104614
1590141959.3517594,65,0.4299969971179962
