Wall time,Step,Value
1590140469.4951313,0,1.584807276725769
1590140492.4657776,1,1.1373324394226074
1590140515.3214862,2,0.9486916065216064
1590140538.221205,3,0.8168225884437561
1590140561.1010194,4,0.7337679266929626
1590140584.0190012,5,0.674196720123291
1590140606.8938558,6,0.6232973337173462
1590140629.9024405,7,0.5954961776733398
1590140652.783062,8,0.5507469773292542
1590140675.9081903,9,0.5306711792945862
1590140698.9653292,10,0.5148715376853943
1590140721.9940903,11,0.4947476387023926
1590140745.0678082,12,0.4806641638278961
1590140767.9801786,13,0.4712279140949249
1590140790.8396869,14,0.4528491199016571
1590140813.5937662,15,0.44174450635910034
1590140836.5882566,16,0.4304727613925934
1590140859.4609318,17,0.4177766442298889
1590140882.2779894,18,0.41204020380973816
1590140905.2746189,19,0.4043251872062683
1590140928.3512669,20,0.39795979857444763
1590140951.3139966,21,0.3917575180530548
1590140974.2757912,22,0.375577449798584
1590140997.2119334,23,0.3787667155265808
1590141019.9436002,24,0.369529664516449
1590141042.973101,25,0.35997506976127625
1590141065.8776765,26,0.3590824007987976
1590141089.0168664,27,0.3554415702819824
1590141111.9853976,28,0.3485586941242218
1590141134.8597481,29,0.3425169289112091
1590141157.896886,30,0.33955034613609314
1590141180.9177768,31,0.33527785539627075
1590141203.9957435,32,0.332864910364151
1590141226.922266,33,0.3254297077655792
1590141249.8030581,34,0.32947981357574463
1590141272.6682024,35,0.3203470706939697
1590141295.561213,36,0.32314741611480713
1590141318.6177382,37,0.31546783447265625
1590141341.581288,38,0.31488507986068726
1590141364.6073487,39,0.32047006487846375
1590141387.7194304,40,0.3118716776371002
1590141410.7532566,41,0.3037246763706207
1590141433.7829776,42,0.30867868661880493
1590141456.5476856,43,0.3009411096572876
1590141479.3444874,44,0.3026382327079773
1590141502.1066878,45,0.3022981584072113
1590141524.964764,46,0.30172625184059143
1590141547.8289857,47,0.293401837348938
1590141570.7676847,48,0.29486924409866333
1590141593.790997,49,0.2944694757461548
1590141616.6814287,50,0.28916871547698975
1590141639.6400628,51,0.2872067391872406
1590141662.3441443,52,0.2878755033016205
1590141685.2758772,53,0.28888559341430664
1590141708.188158,54,0.2877032458782196
1590141730.9675932,55,0.2792212963104248
1590141753.8735874,56,0.27949854731559753
1590141776.6148736,57,0.2834768295288086
1590141799.417908,58,0.2760879397392273
1590141822.2892056,59,0.27822697162628174
1590141844.9717011,60,0.28119081258773804
1590141867.721314,61,0.2805888056755066
1590141890.6164613,62,0.2729444205760956
1590141913.5854034,63,0.2768194377422333
1590141936.4767036,64,0.2718258202075958
1590141959.351579,65,0.27272146940231323
1590141982.1244595,66,0.2673659026622772
1590142004.916658,67,0.2729286849498749
1590142027.6431515,68,0.2647899091243744
1590142050.3879414,69,0.2692173421382904
1590142073.2909005,70,0.2672298550605774
1590142096.1040993,71,0.2689690887928009
1590142119.0376296,72,0.2659740447998047
1590142142.3670824,73,0.26143890619277954
1590142165.4144473,74,0.2651829123497009
1590142188.2070785,75,0.2649585008621216
1590142211.194674,76,0.25434204936027527
1590142233.9647737,77,0.2620333731174469
1590142256.8600693,78,0.2594817876815796
1590142279.7793987,79,0.25823983550071716
1590142302.8510685,80,0.1749994456768036
1590142325.582954,81,0.1493918001651764
1590142348.3987994,82,0.1366802155971527
1590142371.1817336,83,0.13328588008880615
1590142393.8821304,84,0.12576469779014587
